participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
10,2,bar-slider,constantSum,1,3.0,7.0,71,41,5.326,SQ
10,2,bar-slider,constantSum,2,1.0,11.0,93,8,3.680,HX
10,2,bar-slider,constantSum,3,5.0,15.0,72,39,3.847,YV
10,2,bar-slider,constantSum,4,9.0,13.0,62,62,3.297,LC
10,2,bar-slider,constantSum,5,9.0,15.0,68,48,5.008,LV
10,2,bar-slider,constantSum,6,1.0,5.0,79,27,3.812,HY
10,2,bar-slider,constantSum,7,5.0,7.0,60,67,4.427,YQ
10,2,bar-slider,constantSum,8,13.0,15.0,60,67,5.328,CV
10,2,bar-slider,constantSum,9,3.0,5.0,68,48,4.063,SY
10,2,bar-slider,constantSum,10,5.0,13.0,73,37,3.983,YC
10,2,bar-slider,constantSum,11,3.0,11.0,72,39,4.412,SX
10,2,bar-slider,constantSum,12,7.0,9.0,58,73,3.695,QL
10,2,bar-slider,constantSum,13,3.0,15.0,86,17,3.280,SV
10,2,bar-slider,constantSum,14,7.0,11.0,68,48,3.064,QX
10,2,bar-slider,constantSum,15,5.0,9.0,75,34,3.811,YL
10,2,bar-slider,constantSum,16,9.0,11.0,57,76,3.497,LX
10,2,bar-slider,constantSum,17,11.0,13.0,57,76,4.992,XC
10,2,bar-slider,constantSum,18,3.0,13.0,82,22,4.097,SC
10,2,bar-slider,constantSum,19,1.0,15.0,94,7,3.881,HV
10,2,bar-slider,constantSum,20,1.0,13.0,93,8,3.179,HC
10,2,bar-slider,constantSum,21,5.0,11.0,70,43,3.496,YX
10,2,bar-slider,constantSum,22,7.0,15.0,75,34,3.064,QV
10,2,bar-slider,constantSum,23,1.0,3.0,75,34,4.295,HS
10,2,bar-slider,constantSum,24,1.0,7.0,87,15,3.913,HQ
10,2,bar-slider,constantSum,25,1.0,9.0,89,13,2.931,HL
10,2,bar-slider,constantSum,26,7.0,13.0,65,54,3.297,QC
10,2,bar-slider,constantSum,27,3.0,9.0,77,30,7.301,SL
10,2,bar-slider,constantSum,28,11.0,15.0,60,67,3.781,XV
10,2,sphere-slider,constantSum,1,1.2,5.0,92,9,5.046,KR
10,2,sphere-slider,constantSum,2,1.8,4.0,75,34,7.213,EB
10,2,sphere-slider,constantSum,3,1.8,3.0,72,39,8.051,EP
10,2,sphere-slider,constantSum,4,5.0,7.0,71,41,5.337,RM
10,2,sphere-slider,constantSum,5,1.8,2.5,57,76,5.986,EG
10,2,sphere-slider,constantSum,6,1.2,7.0,98,3,5.686,KM
10,2,sphere-slider,constantSum,7,1.8,7.0,90,12,8.526,EM
10,2,sphere-slider,constantSum,8,4.0,6.0,71,41,6.332,BW
10,2,sphere-slider,constantSum,9,1.2,4.0,90,12,11.345,KB
10,2,sphere-slider,constantSum,10,4.0,5.0,55,82,4.446,BR
10,2,sphere-slider,constantSum,11,1.2,2.5,75,34,7.092,KG
10,2,sphere-slider,constantSum,12,2.5,6.0,85,18,6.937,GW
10,2,sphere-slider,constantSum,13,5.0,6.0,71,41,6.635,RW
10,2,sphere-slider,constantSum,14,1.2,1.8,55,82,8.570,KE
10,2,sphere-slider,constantSum,15,3.0,5.0,66,52,5.503,PR
10,2,sphere-slider,constantSum,16,1.2,6.0,99,2,6.399,KW
10,2,sphere-slider,constantSum,17,2.5,4.0,71,41,8.697,GB
10,2,sphere-slider,constantSum,18,3.0,4.0,61,64,6.093,PB
10,2,sphere-slider,constantSum,19,2.5,3.0,54,86,7.159,GP
10,2,sphere-slider,constantSum,20,3.0,7.0,90,12,7.598,PM
10,2,sphere-slider,constantSum,21,1.2,3.0,89,13,7.130,KP
10,2,sphere-slider,constantSum,22,2.5,7.0,87,15,8.202,GM
10,2,sphere-slider,constantSum,23,4.0,7.0,73,37,7.897,BM
10,2,sphere-slider,constantSum,24,6.0,7.0,62,62,7.192,WM
10,2,sphere-slider,constantSum,25,1.8,5.0,78,29,6.162,ER
