participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
10,2,sphere-slider,constantSum,26,1.8,6.0,85,18,6.814,EW
10,2,sphere-slider,constantSum,27,2.5,5.0,71,41,8.142,GR
10,2,sphere-slider,constantSum,28,3.0,6.0,78,29,8.454,PW
10,2,bar-number,ratioPercentage,1,3.0,7.0,71,41,4.277,SQ
10,2,bar-number,ratioPercentage,2,1.0,11.0,92,9,3.657,HX
10,2,bar-number,ratioPercentage,3,5.0,15.0,73,37,3.750,YV
10,2,bar-number,ratioPercentage,4,9.0,13.0,59,70,3.228,LC
10,2,bar-number,ratioPercentage,5,9.0,15.0,62,63,4.967,LV
10,2,bar-number,ratioPercentage,6,1.0,5.0,84,20,3.894,HY
10,2,bar-number,ratioPercentage,7,5.0,7.0,56,80,5.193,YQ
10,2,bar-number,ratioPercentage,8,13.0,15.0,53,91,3.095,CV
10,2,bar-number,ratioPercentage,9,3.0,5.0,64,58,4.559,SY
10,2,bar-number,ratioPercentage,10,5.0,13.0,76,33,3.693,YC
10,2,bar-number,ratioPercentage,11,3.0,11.0,80,25,3.981,SX
10,2,bar-number,ratioPercentage,12,7.0,9.0,56,80,4.567,QL
10,2,bar-number,ratioPercentage,13,3.0,15.0,84,20,3.244,SV
10,2,bar-number,ratioPercentage,14,7.0,11.0,60,69,6.493,QX
10,2,bar-number,ratioPercentage,15,5.0,9.0,63,60,4.089,YL
10,2,bar-number,ratioPercentage,16,9.0,11.0,55,83,5.275,LX
10,2,bar-number,ratioPercentage,17,11.0,13.0,53,90,2.995,XC
10,2,bar-number,ratioPercentage,18,3.0,13.0,82,22,2.745,SC
10,2,bar-number,ratioPercentage,19,1.0,15.0,92,9,3.477,HV
10,2,bar-number,ratioPercentage,20,1.0,13.0,91,11,2.145,HC
10,2,bar-number,ratioPercentage,21,5.0,11.0,66,53,5.045,YX
10,2,bar-number,ratioPercentage,22,7.0,15.0,69,45,2.962,QV
10,2,bar-number,ratioPercentage,23,1.0,3.0,76,33,2.411,HS
10,2,bar-number,ratioPercentage,24,1.0,7.0,87,15,5.021,HQ
10,2,bar-number,ratioPercentage,25,1.0,9.0,89,13,3.427,HL
10,2,bar-number,ratioPercentage,26,7.0,13.0,63,60,3.944,QC
10,2,bar-number,ratioPercentage,27,3.0,9.0,75,34,4.955,SL
10,2,bar-number,ratioPercentage,28,11.0,15.0,59,70,2.894,XV
10,2,sphere-number,ratioPercentage,1,1.2,5.0,91,10,4.955,KR
10,2,sphere-number,ratioPercentage,2,1.8,4.0,78,29,6.800,EB
10,2,sphere-number,ratioPercentage,3,1.8,3.0,69,45,9.076,EP
10,2,sphere-number,ratioPercentage,4,5.0,7.0,61,65,4.190,RM
10,2,sphere-number,ratioPercentage,5,1.8,2.5,58,75,8.713,EG
10,2,sphere-number,ratioPercentage,6,1.2,7.0,96,5,5.155,KM
10,2,sphere-number,ratioPercentage,7,1.8,7.0,91,11,6.112,EM
10,2,sphere-number,ratioPercentage,8,4.0,6.0,67,51,3.056,BW
10,2,sphere-number,ratioPercentage,9,1.2,4.0,89,13,6.221,KB
10,2,sphere-number,ratioPercentage,10,4.0,5.0,56,80,5.462,BR
10,2,sphere-number,ratioPercentage,11,1.2,2.5,76,32,5.877,KG
10,2,sphere-number,ratioPercentage,12,2.5,6.0,84,20,4.612,GW
10,2,sphere-number,ratioPercentage,13,5.0,6.0,55,82,4.878,RW
10,2,sphere-number,ratioPercentage,14,1.2,1.8,68,48,7.235,KE
10,2,sphere-number,ratioPercentage,15,3.0,5.0,72,40,6.004,PR
10,2,sphere-number,ratioPercentage,16,1.2,6.0,94,7,7.466,KW
10,2,sphere-number,ratioPercentage,17,2.5,4.0,62,62,6.712,GB
10,2,sphere-number,ratioPercentage,18,3.0,4.0,58,75,2.560,PB
10,2,sphere-number,ratioPercentage,19,2.5,3.0,53,89,8.342,GP
10,2,sphere-number,ratioPercentage,20,3.0,7.0,84,20,8.085,PM
10,2,sphere-number,ratioPercentage,21,1.2,3.0,84,20,4.601,KP
10,2,sphere-number,ratioPercentage,22,2.5,7.0,83,21,5.903,GM
10,2,sphere-number,ratioPercentage,23,4.0,7.0,75,35,8.964,BM
10,2,sphere-number,ratioPercentage,24,6.0,7.0,55,83,4.825,WM
10,2,sphere-number,ratioPercentage,25,1.8,5.0,85,18,5.909,ER
10,2,sphere-number,ratioPercentage,26,1.8,6.0,86,17,7.950,EW
10,2,sphere-number,ratioPercentage,27,2.5,5.0,80,25,4.840,GR
10,2,sphere-number,ratioPercentage,28,3.0,6.0,82,22,7.071,PW
