participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
7,3,bar-number,ratioPercentage,1,3.0,7.0,77,30,2.645,SQ
7,3,bar-number,ratioPercentage,2,1.0,11.0,91,10,2.228,HX
7,3,bar-number,ratioPercentage,3,5.0,15.0,77,30,2.544,YV
7,3,bar-number,ratioPercentage,4,9.0,13.0,59,70,2.162,LC
7,3,bar-number,ratioPercentage,5,9.0,15.0,63,60,2.444,LV
7,3,bar-number,ratioPercentage,6,1.0,5.0,80,25,2.110,HY
7,3,bar-number,ratioPercentage,7,5.0,7.0,59,70,11.340,YQ
7,3,bar-number,ratioPercentage,8,13.0,15.0,53,90,2.961,CV
7,3,bar-number,ratioPercentage,9,3.0,5.0,59,70,5.983,SY
7,3,bar-number,ratioPercentage,10,5.0,13.0,72,40,3.017,YC
7,3,bar-number,ratioPercentage,11,3.0,11.0,80,25,2.211,SX
7,3,bar-number,ratioPercentage,12,7.0,9.0,56,80,2.127,QL
7,3,bar-number,ratioPercentage,13,3.0,15.0,84,20,3.162,SV
7,3,bar-number,ratioPercentage,14,7.0,11.0,59,70,2.245,QX
7,3,bar-number,ratioPercentage,15,5.0,9.0,63,60,1.894,YL
7,3,bar-number,ratioPercentage,16,9.0,11.0,56,80,2.394,LX
7,3,bar-number,ratioPercentage,17,11.0,13.0,53,90,2.561,XC
7,3,bar-number,ratioPercentage,18,3.0,13.0,84,20,1.979,SC
7,3,bar-number,ratioPercentage,19,1.0,15.0,91,10,1.877,HV
7,3,bar-number,ratioPercentage,20,1.0,13.0,91,10,2.327,HC
7,3,bar-number,ratioPercentage,21,5.0,11.0,72,40,1.794,YX
7,3,bar-number,ratioPercentage,22,7.0,15.0,67,50,1.811,QV
7,3,bar-number,ratioPercentage,23,1.0,3.0,77,30,1.995,HS
7,3,bar-number,ratioPercentage,24,1.0,7.0,84,20,2.677,HQ
7,3,bar-number,ratioPercentage,25,1.0,9.0,91,10,4.208,HL
7,3,bar-number,ratioPercentage,26,7.0,13.0,61,66,4.392,QC
7,3,bar-number,ratioPercentage,27,3.0,9.0,77,30,3.361,SL
7,3,bar-number,ratioPercentage,28,11.0,15.0,56,80,2.410,XV
7,3,sphere-number,ratioPercentage,1,1.2,5.0,91,10,12.389,KR
7,3,sphere-number,ratioPercentage,2,1.8,4.0,76,33,4.559,EB
7,3,sphere-number,ratioPercentage,3,1.8,3.0,67,50,7.111,EP
7,3,sphere-number,ratioPercentage,4,5.0,7.0,61,66,6.711,RM
7,3,sphere-number,ratioPercentage,5,1.8,2.5,67,50,2.028,EG
7,3,sphere-number,ratioPercentage,6,1.2,7.0,100,1,7.902,KM
7,3,sphere-number,ratioPercentage,7,1.8,7.0,91,10,1.745,EM
7,3,sphere-number,ratioPercentage,8,4.0,6.0,67,50,7.006,BW
7,3,sphere-number,ratioPercentage,9,1.2,4.0,67,50,7.729,KB
7,3,sphere-number,ratioPercentage,10,4.0,5.0,61,66,2.211,BR
7,3,sphere-number,ratioPercentage,11,1.2,2.5,76,33,8.130,KG
7,3,sphere-number,ratioPercentage,12,2.5,6.0,80,25,2.293,GW
7,3,sphere-number,ratioPercentage,13,5.0,6.0,61,66,7.657,RW
7,3,sphere-number,ratioPercentage,14,1.2,1.8,67,50,1.993,KE
7,3,sphere-number,ratioPercentage,15,3.0,5.0,76,33,2.044,PR
7,3,sphere-number,ratioPercentage,16,1.2,6.0,100,1,6.135,KW
7,3,sphere-number,ratioPercentage,17,2.5,4.0,67,50,5.733,GB
7,3,sphere-number,ratioPercentage,18,3.0,4.0,56,80,16.868,PB
7,3,sphere-number,ratioPercentage,19,2.5,3.0,53,90,2.277,GP
7,3,sphere-number,ratioPercentage,20,3.0,7.0,76,33,1.795,PM
7,3,sphere-number,ratioPercentage,21,1.2,3.0,84,20,27.031,KP
7,3,sphere-number,ratioPercentage,22,2.5,7.0,91,10,1.812,GM
7,3,sphere-number,ratioPercentage,23,4.0,7.0,76,33,1.745,BM
7,3,sphere-number,ratioPercentage,24,6.0,7.0,61,66,1.711,WM
7,3,sphere-number,ratioPercentage,25,1.8,5.0,80,25,8.964,ER
