participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
4,0,sphere-number,ratioPercentage,1,1.2,5.0,93,8,9.502,KR
4,0,sphere-number,ratioPercentage,2,1.8,4.0,85,18,7.375,EB
4,0,sphere-number,ratioPercentage,3,1.8,3.0,59,70,7.079,EP
4,0,sphere-number,ratioPercentage,4,5.0,7.0,63,60,3.424,RM
4,0,sphere-number,ratioPercentage,5,1.8,2.5,56,80,3.678,EG
4,0,sphere-number,ratioPercentage,6,1.2,7.0,97,4,7.213,KM
4,0,sphere-number,ratioPercentage,7,1.8,7.0,91,10,6.205,EM
4,0,sphere-number,ratioPercentage,8,4.0,6.0,72,40,8.169,BW
4,0,sphere-number,ratioPercentage,9,1.2,4.0,92,9,8.065,KB
4,0,sphere-number,ratioPercentage,10,4.0,5.0,55,85,5.585,BR
4,0,sphere-number,ratioPercentage,11,1.2,2.5,80,25,4.261,KG
4,0,sphere-number,ratioPercentage,12,2.5,6.0,85,18,5.969,GW
4,0,sphere-number,ratioPercentage,13,5.0,6.0,54,86,5.297,RW
4,0,sphere-number,ratioPercentage,14,1.2,1.8,63,60,2.795,KE
4,0,sphere-number,ratioPercentage,15,3.0,5.0,75,34,6.890,PR
4,0,sphere-number,ratioPercentage,16,1.2,6.0,97,4,11.018,KW
4,0,sphere-number,ratioPercentage,17,2.5,4.0,72,40,8.538,GB
4,0,sphere-number,ratioPercentage,18,3.0,4.0,57,76,5.986,PB
4,0,sphere-number,ratioPercentage,19,2.5,3.0,53,89,7.845,GP
4,0,sphere-number,ratioPercentage,20,3.0,7.0,88,14,8.518,PM
4,0,sphere-number,ratioPercentage,21,1.2,3.0,84,20,5.671,KP
4,0,sphere-number,ratioPercentage,22,2.5,7.0,90,12,10.840,GM
4,0,sphere-number,ratioPercentage,23,4.0,7.0,74,36,10.370,BM
4,0,sphere-number,ratioPercentage,24,6.0,7.0,52,93,9.184,WM
4,0,sphere-number,ratioPercentage,25,1.8,5.0,87,15,9.524,ER
4,0,sphere-number,ratioPercentage,26,1.8,6.0,91,10,5.085,EW
4,0,sphere-number,ratioPercentage,27,2.5,5.0,80,25,6.072,GR
4,0,sphere-number,ratioPercentage,28,3.0,6.0,82,22,4.482,PW
4,0,bar-number,ratioPercentage,1,3.0,7.0,69,46,3.878,SQ
4,0,bar-number,ratioPercentage,2,1.0,11.0,93,8,2.378,HX
4,0,bar-number,ratioPercentage,3,5.0,15.0,74,36,6.367,YV
4,0,bar-number,ratioPercentage,4,9.0,13.0,60,68,4.444,LC
4,0,bar-number,ratioPercentage,5,9.0,15.0,60,69,6.827,LV
4,0,bar-number,ratioPercentage,6,1.0,5.0,83,21,6.421,HY
4,0,bar-number,ratioPercentage,7,5.0,7.0,56,80,3.220,YQ
4,0,bar-number,ratioPercentage,8,13.0,15.0,53,91,5.762,CV
4,0,bar-number,ratioPercentage,9,3.0,5.0,59,70,3.828,SY
4,0,bar-number,ratioPercentage,10,5.0,13.0,73,38,6.210,YC
4,0,bar-number,ratioPercentage,11,3.0,11.0,79,28,3.874,SX
4,0,bar-number,ratioPercentage,12,7.0,9.0,55,85,9.017,QL
4,0,bar-number,ratioPercentage,13,3.0,15.0,86,17,8.605,SV
4,0,bar-number,ratioPercentage,14,7.0,11.0,60,67,7.317,QX
4,0,bar-number,ratioPercentage,15,5.0,9.0,62,62,5.757,YL
4,0,bar-number,ratioPercentage,16,9.0,11.0,54,88,8.948,LX
4,0,bar-number,ratioPercentage,17,11.0,13.0,53,90,2.929,XC
4,0,bar-number,ratioPercentage,18,3.0,13.0,86,17,6.843,SC
4,0,bar-number,ratioPercentage,19,1.0,15.0,96,5,8.868,HV
4,0,bar-number,ratioPercentage,20,1.0,13.0,95,6,10.340,HC
4,0,bar-number,ratioPercentage,21,5.0,11.0,71,42,5.015,YX
4,0,bar-number,ratioPercentage,22,7.0,15.0,72,40,6.590,QV
4,0,bar-number,ratioPercentage,23,1.0,3.0,73,38,7.222,HS
4,0,bar-number,ratioPercentage,24,1.0,7.0,87,16,7.516,HQ
4,0,bar-number,ratioPercentage,25,1.0,9.0,91,11,5.493,HL
4,0,bar-number,ratioPercentage,26,7.0,13.0,63,60,1.962,QC
4,0,bar-number,ratioPercentage,27,3.0,9.0,75,35,3.278,SL
4,0,bar-number,ratioPercentage,28,11.0,15.0,56,80,7.989,XV
4,0,sphere-slider,constantSum,1,1.2,5.0,91,10,11.397,KR
4,0,sphere-slider,constantSum,2,1.8,4.0,75,34,9.096,EB
4,0,sphere-slider,constantSum,3,1.8,3.0,67,50,8.629,EP
4,0,sphere-slider,constantSum,4,5.0,7.0,69,45,11.479,RM
4,0,sphere-slider,constantSum,5,1.8,2.5,64,57,5.980,EG
4,0,sphere-slider,constantSum,6,1.2,7.0,99,2,9.528,KM
4,0,sphere-slider,constantSum,7,1.8,7.0,96,5,11.129,EM
4,0,sphere-slider,constantSum,8,4.0,6.0,68,48,9.762,BW
4,0,sphere-slider,constantSum,9,1.2,4.0,95,6,9.280,KB
4,0,sphere-slider,constantSum,10,4.0,5.0,60,67,9.013,BR
4,0,sphere-slider,constantSum,11,1.2,2.5,87,15,10.392,KG
4,0,sphere-slider,constantSum,12,2.5,6.0,93,8,14.871,GW
4,0,sphere-slider,constantSum,13,5.0,6.0,59,70,11.069,RW
4,0,sphere-slider,constantSum,14,1.2,1.8,72,39,12.855,KE
4,0,sphere-slider,constantSum,15,3.0,5.0,79,27,15.626,PR
4,0,sphere-slider,constantSum,16,1.2,6.0,99,2,13.292,KW
4,0,sphere-slider,constantSum,17,2.5,4.0,69,45,10.943,GB
4,0,sphere-slider,constantSum,18,3.0,4.0,66,52,7.963,PB
4,0,sphere-slider,constantSum,19,2.5,3.0,64,57,7.363,GP
4,0,sphere-slider,constantSum,20,3.0,7.0,95,6,11.510,PM
4,0,sphere-slider,constantSum,21,1.2,3.0,96,5,10.161,KP
4,0,sphere-slider,constantSum,22,2.5,7.0,97,4,11.646,GM
4,0,sphere-slider,constantSum,23,4.0,7.0,88,14,7.562,BM
4,0,sphere-slider,constantSum,24,6.0,7.0,58,73,12.390,WM
4,0,sphere-slider,constantSum,25,1.8,5.0,94,7,8.539,ER
4,0,sphere-slider,constantSum,26,1.8,6.0,95,6,8.813,EW
4,0,sphere-slider,constantSum,27,2.5,5.0,88,14,8.713,GR
4,0,sphere-slider,constantSum,28,3.0,6.0,88,14,4.979,PW
4,0,bar-slider,constantSum,1,3.0,7.0,81,24,7.229,SQ
4,0,bar-slider,constantSum,2,1.0,11.0,97,4,10.379,HX
4,0,bar-slider,constantSum,3,5.0,15.0,82,22,12.312,YV
4,0,bar-slider,constantSum,4,9.0,13.0,65,54,6.430,LC
4,0,bar-slider,constantSum,5,9.0,15.0,71,41,12.794,LV
4,0,bar-slider,constantSum,6,1.0,5.0,91,10,8.490,HY
4,0,bar-slider,constantSum,7,5.0,7.0,61,64,9.129,YQ
4,0,bar-slider,constantSum,8,13.0,15.0,60,67,7.693,CV
4,0,bar-slider,constantSum,9,3.0,5.0,67,50,6.697,SY
4,0,bar-slider,constantSum,10,5.0,13.0,85,18,11.779,YC
4,0,bar-slider,constantSum,11,3.0,11.0,92,9,8.767,SX
4,0,bar-slider,constantSum,12,7.0,9.0,61,64,11.197,QL
4,0,bar-slider,constantSum,13,3.0,15.0,93,8,9.313,SV
4,0,bar-slider,constantSum,14,7.0,11.0,68,48,14.373,QX
4,0,bar-slider,constantSum,15,5.0,9.0,73,37,7.680,YL
4,0,bar-slider,constantSum,16,9.0,11.0,58,73,9.325,LX
4,0,bar-slider,constantSum,17,11.0,13.0,58,73,6.830,XC
