participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
2,2,bar-slider,constantSum,1,3.0,7.0,75,34,10.803,SQ
2,2,bar-slider,constantSum,2,1.0,11.0,90,12,5.380,HX
2,2,bar-slider,constantSum,3,5.0,15.0,77,30,14.408,YV
2,2,bar-slider,constantSum,4,9.0,13.0,63,59,7.583,LC
2,2,bar-slider,constantSum,5,9.0,15.0,72,39,12.779,LV
2,2,bar-slider,constantSum,6,1.0,5.0,79,27,11.851,HY
2,2,bar-slider,constantSum,7,5.0,7.0,59,70,5.705,YQ
2,2,bar-slider,constantSum,8,13.0,15.0,56,79,9.704,CV
2,2,bar-slider,constantSum,9,3.0,5.0,58,73,7.903,SY
2,2,bar-slider,constantSum,10,5.0,13.0,74,36,12.593,YC
2,2,bar-slider,constantSum,11,3.0,11.0,82,22,13.695,SX
2,2,bar-slider,constantSum,12,7.0,9.0,59,70,9.014,QL
2,2,bar-slider,constantSum,13,3.0,15.0,89,13,9.132,SV
2,2,bar-slider,constantSum,14,7.0,11.0,68,48,7.125,QX
2,2,bar-slider,constantSum,15,5.0,9.0,70,43,11.236,YL
2,2,bar-slider,constantSum,16,9.0,11.0,59,70,8.493,LX
2,2,bar-slider,constantSum,17,11.0,13.0,59,70,7.047,XC
2,2,bar-slider,constantSum,18,3.0,13.0,78,29,20.531,SC
2,2,bar-slider,constantSum,19,1.0,15.0,94,7,7.110,HV
2,2,bar-slider,constantSum,20,1.0,13.0,92,9,15.638,HC
2,2,bar-slider,constantSum,21,5.0,11.0,72,39,8.361,YX
2,2,bar-slider,constantSum,22,7.0,15.0,73,37,11.066,QV
2,2,bar-slider,constantSum,23,1.0,3.0,60,67,12.342,HS
2,2,bar-slider,constantSum,24,1.0,7.0,83,21,15.210,HQ
2,2,bar-slider,constantSum,25,1.0,9.0,88,14,11.301,HL
2,2,bar-slider,constantSum,26,7.0,13.0,65,54,21.050,QC
2,2,bar-slider,constantSum,27,3.0,9.0,57,76,11.048,SL
2,2,bar-slider,constantSum,28,11.0,15.0,58,73,13.795,XV
2,2,sphere-slider,constantSum,1,1.2,5.0,80,25,14.703,KR
2,2,sphere-slider,constantSum,2,1.8,4.0,69,45,14.634,EB
2,2,sphere-slider,constantSum,3,1.8,3.0,56,79,6.683,EP
2,2,sphere-slider,constantSum,4,5.0,7.0,65,54,15.938,RM
2,2,sphere-slider,constantSum,5,1.8,2.5,57,76,8.194,EG
2,2,sphere-slider,constantSum,6,1.2,7.0,98,3,9.727,KM
2,2,sphere-slider,constantSum,7,1.8,7.0,96,5,10.021,EM
2,2,sphere-slider,constantSum,8,4.0,6.0,77,30,8.127,BW
2,2,sphere-slider,constantSum,9,1.2,4.0,86,17,24.995,KB
2,2,sphere-slider,constantSum,10,4.0,5.0,63,59,9.579,BR
2,2,sphere-slider,constantSum,11,1.2,2.5,73,37,11.042,KG
2,2,sphere-slider,constantSum,12,2.5,6.0,90,12,15.488,GW
2,2,sphere-slider,constantSum,13,5.0,6.0,65,54,8.025,RW
2,2,sphere-slider,constantSum,14,1.2,1.8,65,54,10.779,KE
2,2,sphere-slider,constantSum,15,3.0,5.0,77,30,4.976,PR
2,2,sphere-slider,constantSum,16,1.2,6.0,98,3,10.731,KW
2,2,sphere-slider,constantSum,17,2.5,4.0,73,37,8.840,GB
2,2,sphere-slider,constantSum,18,3.0,4.0,68,48,12.154,PB
2,2,sphere-slider,constantSum,19,2.5,3.0,59,70,6.086,GP
2,2,sphere-slider,constantSum,20,3.0,7.0,91,10,12.764,PM
2,2,sphere-slider,constantSum,21,1.2,3.0,86,17,9.302,KP
2,2,sphere-slider,constantSum,22,2.5,7.0,93,8,10.297,GM
2,2,sphere-slider,constantSum,23,4.0,7.0,82,22,16.657,BM
2,2,sphere-slider,constantSum,24,6.0,7.0,65,54,5.383,WM
2,2,sphere-slider,constantSum,25,1.8,5.0,81,24,9.549,ER
2,2,sphere-slider,constantSum,26,1.8,6.0,91,10,10.731,EW
2,2,sphere-slider,constantSum,27,2.5,5.0,73,37,14.298,GR
2,2,sphere-slider,constantSum,28,3.0,6.0,81,24,6.093,PW
2,2,bar-number,ratioPercentage,1,3.0,7.0,68,48,7.862,SQ
2,2,bar-number,ratioPercentage,2,1.0,11.0,91,10,4.756,HX
2,2,bar-number,ratioPercentage,3,5.0,15.0,75,35,14.212,YV
2,2,bar-number,ratioPercentage,4,9.0,13.0,59,70,5.860,LC
2,2,bar-number,ratioPercentage,5,9.0,15.0,65,56,6.066,LV
2,2,bar-number,ratioPercentage,6,1.0,5.0,71,42,5.533,HY
2,2,bar-number,ratioPercentage,7,5.0,7.0,56,80,8.161,YQ
2,2,bar-number,ratioPercentage,8,13.0,15.0,55,85,11.353,CV
2,2,bar-number,ratioPercentage,9,3.0,5.0,57,76,9.162,SY
2,2,bar-number,ratioPercentage,10,5.0,13.0,75,34,14.524,YC
2,2,bar-number,ratioPercentage,11,3.0,11.0,73,38,12.084,SX
2,2,bar-number,ratioPercentage,12,7.0,9.0,55,84,11.693,QL
2,2,bar-number,ratioPercentage,13,3.0,15.0,84,20,6.055,SV
2,2,bar-number,ratioPercentage,14,7.0,11.0,59,72,9.471,QX
2,2,bar-number,ratioPercentage,15,5.0,9.0,63,60,7.264,YL
2,2,bar-number,ratioPercentage,16,9.0,11.0,54,86,8.297,LX
2,2,bar-number,ratioPercentage,17,11.0,13.0,53,90,8.555,XC
2,2,bar-number,ratioPercentage,18,3.0,13.0,79,28,14.121,SC
2,2,bar-number,ratioPercentage,19,1.0,15.0,94,7,11.844,HV
2,2,bar-number,ratioPercentage,20,1.0,13.0,91,10,12.499,HC
2,2,bar-number,ratioPercentage,21,5.0,11.0,75,35,9.130,YX
2,2,bar-number,ratioPercentage,22,7.0,15.0,67,50,32.850,QV
2,2,bar-number,ratioPercentage,23,1.0,3.0,67,50,10.686,HS
2,2,bar-number,ratioPercentage,24,1.0,7.0,81,24,27.086,HQ
2,2,bar-number,ratioPercentage,25,1.0,9.0,85,18,15.657,HL
2,2,bar-number,ratioPercentage,26,7.0,13.0,63,60,7.952,QC
2,2,bar-number,ratioPercentage,27,3.0,9.0,70,44,8.606,SL
2,2,bar-number,ratioPercentage,28,11.0,15.0,57,78,8.539,XV
2,2,sphere-number,ratioPercentage,1,1.2,5.0,96,5,12.256,KR
2,2,sphere-number,ratioPercentage,2,1.8,4.0,73,38,12.270,EB
2,2,sphere-number,ratioPercentage,3,1.8,3.0,58,75,13.004,EP
2,2,sphere-number,ratioPercentage,4,5.0,7.0,62,62,9.229,RM
2,2,sphere-number,ratioPercentage,5,1.8,2.5,53,92,24.504,EG
2,2,sphere-number,ratioPercentage,6,1.2,7.0,97,4,9.919,KM
2,2,sphere-number,ratioPercentage,7,1.8,7.0,95,6,16.420,EM
2,2,sphere-number,ratioPercentage,8,4.0,6.0,72,40,6.447,BW
2,2,sphere-number,ratioPercentage,9,1.2,4.0,91,10,13.057,KB
2,2,sphere-number,ratioPercentage,10,4.0,5.0,53,90,13.220,BR
2,2,sphere-number,ratioPercentage,11,1.2,2.5,75,35,7.069,KG
2,2,sphere-number,ratioPercentage,12,2.5,6.0,84,20,17.629,GW
2,2,sphere-number,ratioPercentage,13,5.0,6.0,54,86,14.872,RW
2,2,sphere-number,ratioPercentage,14,1.2,1.8,57,76,12.823,KE
2,2,sphere-number,ratioPercentage,15,3.0,5.0,59,70,11.001,PR
2,2,sphere-number,ratioPercentage,16,1.2,6.0,97,4,13.455,KW
2,2,sphere-number,ratioPercentage,17,2.5,4.0,67,50,19.314,GB
2,2,sphere-number,ratioPercentage,18,3.0,4.0,63,60,8.382,PB
2,2,sphere-number,ratioPercentage,19,2.5,3.0,53,92,13.594,GP
2,2,sphere-number,ratioPercentage,20,3.0,7.0,84,20,15.208,PM
2,2,sphere-number,ratioPercentage,21,1.2,3.0,99,2,5.242,KP
2,2,sphere-number,ratioPercentage,22,2.5,7.0,87,15,5.977,GM
2,2,sphere-number,ratioPercentage,23,4.0,7.0,77,30,9.173,BM
2,2,sphere-number,ratioPercentage,24,6.0,7.0,55,84,20.470,WM
2,2,sphere-number,ratioPercentage,25,1.8,5.0,84,20,14.392,ER
2,2,sphere-number,ratioPercentage,26,1.8,6.0,91,10,10.563,EW
2,2,sphere-number,ratioPercentage,27,2.5,5.0,73,38,12.911,GR
2,2,sphere-number,ratioPercentage,28,3.0,6.0,79,28,9.615,PW
