participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
3,3,bar-number,ratioPercentage,1,3.0,7.0,67,50,1.262,SQ
3,3,bar-number,ratioPercentage,2,1.0,11.0,91,10,4.110,HX
3,3,bar-number,ratioPercentage,3,5.0,15.0,75,35,2.379,YV
3,3,bar-number,ratioPercentage,4,9.0,13.0,57,76,2.211,LC
3,3,bar-number,ratioPercentage,5,9.0,15.0,60,68,2.845,LV
3,3,bar-number,ratioPercentage,6,1.0,5.0,80,25,2.745,HY
3,3,bar-number,ratioPercentage,7,5.0,7.0,56,79,4.165,YQ
3,3,bar-number,ratioPercentage,8,13.0,15.0,53,92,2.510,CV
3,3,bar-number,ratioPercentage,9,3.0,5.0,63,60,1.077,SY
3,3,bar-number,ratioPercentage,10,5.0,13.0,72,40,1.761,YC
3,3,bar-number,ratioPercentage,11,3.0,11.0,72,39,1.727,SX
3,3,bar-number,ratioPercentage,12,7.0,9.0,56,79,3.061,QL
3,3,bar-number,ratioPercentage,13,3.0,15.0,85,18,5.330,SV
3,3,bar-number,ratioPercentage,14,7.0,11.0,61,65,3.312,QX
3,3,bar-number,ratioPercentage,15,5.0,9.0,63,60,1.312,YL
3,3,bar-number,ratioPercentage,16,9.0,11.0,53,90,2.445,LX
3,3,bar-number,ratioPercentage,17,11.0,13.0,53,91,3.805,XC
3,3,bar-number,ratioPercentage,18,3.0,13.0,80,25,2.809,SC
3,3,bar-number,ratioPercentage,19,1.0,15.0,90,12,1.661,HV
3,3,bar-number,ratioPercentage,20,1.0,13.0,91,10,2.495,HC
3,3,bar-number,ratioPercentage,21,5.0,11.0,67,50,1.562,YX
3,3,bar-number,ratioPercentage,22,7.0,15.0,67,50,1.527,QV
3,3,bar-number,ratioPercentage,23,1.0,3.0,77,30,3.093,HS
3,3,bar-number,ratioPercentage,24,1.0,7.0,84,20,2.245,HQ
3,3,bar-number,ratioPercentage,25,1.0,9.0,87,15,1.378,HL
3,3,bar-number,ratioPercentage,26,7.0,13.0,59,70,2.945,QC
3,3,bar-number,ratioPercentage,27,3.0,9.0,73,37,4.291,SL
