participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
1,1,bar-slider,constantSum,25,1.0,9.0,92,9,3.543,HL
1,1,bar-slider,constantSum,26,7.0,13.0,68,48,4.122,QC
1,1,bar-slider,constantSum,27,3.0,9.0,70,43,3.896,SL
1,1,bar-slider,constantSum,28,11.0,15.0,68,48,4.697,XV
1,1,sphere-number,ratioPercentage,1,1.2,5.0,91,10,5.777,KR
1,1,sphere-number,ratioPercentage,2,1.8,4.0,77,30,4.566,EB
1,1,sphere-number,ratioPercentage,3,1.8,3.0,72,40,2.412,EP
1,1,sphere-number,ratioPercentage,4,5.0,7.0,69,45,4.087,RM
1,1,sphere-number,ratioPercentage,5,1.8,2.5,59,70,4.919,EG
1,1,sphere-number,ratioPercentage,6,1.2,7.0,94,7,4.094,KM
1,1,sphere-number,ratioPercentage,7,1.8,7.0,84,20,4.156,EM
1,1,sphere-number,ratioPercentage,8,4.0,6.0,75,35,6.322,BW
1,1,sphere-number,ratioPercentage,9,1.2,4.0,87,15,3.974,KB
1,1,sphere-number,ratioPercentage,10,4.0,5.0,58,75,4.717,BR
1,1,sphere-number,ratioPercentage,11,1.2,2.5,80,26,6.294,KG
1,1,sphere-number,ratioPercentage,12,2.5,6.0,74,36,8.720,GW
1,1,sphere-number,ratioPercentage,13,5.0,6.0,57,78,5.459,RW
1,1,sphere-number,ratioPercentage,14,1.2,1.8,57,77,6.329,KE
1,1,sphere-number,ratioPercentage,15,3.0,5.0,63,60,4.605,PR
1,1,sphere-number,ratioPercentage,16,1.2,6.0,96,5,4.171,KW
1,1,sphere-number,ratioPercentage,17,2.5,4.0,57,78,5.836,GB
1,1,sphere-number,ratioPercentage,18,3.0,4.0,56,80,3.045,PB
1,1,sphere-number,ratioPercentage,19,2.5,3.0,52,95,4.354,GP
1,1,sphere-number,ratioPercentage,20,3.0,7.0,72,40,2.644,PM
1,1,sphere-number,ratioPercentage,21,1.2,3.0,85,18,4.556,KP
1,1,sphere-number,ratioPercentage,22,2.5,7.0,82,23,7.636,GM
1,1,sphere-number,ratioPercentage,23,4.0,7.0,76,33,4.925,BM
1,1,sphere-number,ratioPercentage,24,6.0,7.0,60,68,5.391,WM
1,1,sphere-number,ratioPercentage,25,1.8,5.0,72,40,3.568,ER
1,1,sphere-number,ratioPercentage,26,1.8,6.0,84,20,5.184,EW
1,1,sphere-number,ratioPercentage,27,2.5,5.0,72,40,6.958,GR
1,1,sphere-number,ratioPercentage,28,3.0,6.0,69,45,4.267,PW
1,1,bar-number,ratioPercentage,1,3.0,7.0,75,35,4.100,SQ
1,1,bar-number,ratioPercentage,2,1.0,11.0,91,10,3.704,HX
1,1,bar-number,ratioPercentage,3,5.0,15.0,77,30,5.993,YV
1,1,bar-number,ratioPercentage,4,9.0,13.0,59,70,2.711,LC
1,1,bar-number,ratioPercentage,5,9.0,15.0,61,65,3.352,LV
1,1,bar-number,ratioPercentage,6,1.0,5.0,72,40,5.365,HY
1,1,bar-number,ratioPercentage,7,5.0,7.0,56,80,4.673,YQ
1,1,bar-number,ratioPercentage,8,13.0,15.0,55,85,3.982,CV
1,1,bar-number,ratioPercentage,9,3.0,5.0,57,76,4.920,SY
1,1,bar-number,ratioPercentage,10,5.0,13.0,69,45,3.599,YC
1,1,bar-number,ratioPercentage,11,3.0,11.0,72,40,4.483,SX
1,1,bar-number,ratioPercentage,12,7.0,9.0,55,83,6.308,QL
1,1,bar-number,ratioPercentage,13,3.0,15.0,84,20,4.007,SV
1,1,bar-number,ratioPercentage,14,7.0,11.0,63,60,2.825,QX
1,1,bar-number,ratioPercentage,15,5.0,9.0,66,52,3.960,YL
1,1,bar-number,ratioPercentage,16,9.0,11.0,55,83,7.229,LX
1,1,bar-number,ratioPercentage,17,11.0,13.0,54,87,3.161,XC
1,1,bar-number,ratioPercentage,18,3.0,13.0,80,25,3.653,SC
1,1,bar-number,ratioPercentage,19,1.0,15.0,91,10,2.595,HV
1,1,bar-number,ratioPercentage,20,1.0,13.0,94,7,2.866,HC
1,1,bar-number,ratioPercentage,21,5.0,11.0,68,48,5.388,YX
1,1,bar-number,ratioPercentage,22,7.0,15.0,68,48,5.180,QV
1,1,bar-number,ratioPercentage,23,1.0,3.0,73,38,4.237,HS
1,1,bar-number,ratioPercentage,24,1.0,7.0,79,28,4.980,HQ
1,1,bar-number,ratioPercentage,25,1.0,9.0,79,27,4.536,HL
1,1,bar-number,ratioPercentage,26,7.0,13.0,64,58,3.689,QC
1,1,bar-number,ratioPercentage,27,3.0,9.0,69,45,6.011,SL
1,1,bar-number,ratioPercentage,28,11.0,15.0,55,84,3.526,XV
