participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
1,1,sphere-slider,constantSum,1,1.2,5.0,70,43,6.657,KR
1,1,sphere-slider,constantSum,2,1.8,4.0,60,67,5.703,EB
1,1,sphere-slider,constantSum,3,1.8,3.0,54,86,5.334,EP
1,1,sphere-slider,constantSum,4,5.0,7.0,59,70,5.765,RM
1,1,sphere-slider,constantSum,5,1.8,2.5,55,82,3.480,EG
1,1,sphere-slider,constantSum,6,1.2,7.0,92,9,3.197,KM
1,1,sphere-slider,constantSum,7,1.8,7.0,81,24,4.542,EM
1,1,sphere-slider,constantSum,8,4.0,6.0,64,57,3.281,BW
1,1,sphere-slider,constantSum,9,1.2,4.0,67,50,3.946,KB
1,1,sphere-slider,constantSum,10,4.0,5.0,56,79,4.113,BR
1,1,sphere-slider,constantSum,11,1.2,2.5,56,79,4.231,KG
1,1,sphere-slider,constantSum,12,2.5,6.0,74,36,4.514,GW
1,1,sphere-slider,constantSum,13,5.0,6.0,56,79,3.897,RW
1,1,sphere-slider,constantSum,14,1.2,1.8,58,73,4.630,KE
1,1,sphere-slider,constantSum,15,3.0,5.0,68,48,4.964,PR
1,1,sphere-slider,constantSum,16,1.2,6.0,87,15,4.180,KW
1,1,sphere-slider,constantSum,17,2.5,4.0,68,48,5.842,GB
1,1,sphere-slider,constantSum,18,3.0,4.0,59,70,5.807,PB
1,1,sphere-slider,constantSum,19,2.5,3.0,56,79,4.464,GP
1,1,sphere-slider,constantSum,20,3.0,7.0,66,52,3.697,PM
1,1,sphere-slider,constantSum,21,1.2,3.0,71,41,3.997,KP
1,1,sphere-slider,constantSum,22,2.5,7.0,80,25,6.184,GM
1,1,sphere-slider,constantSum,23,4.0,7.0,69,45,4.097,BM
1,1,sphere-slider,constantSum,24,6.0,7.0,57,76,5.796,WM
1,1,sphere-slider,constantSum,25,1.8,5.0,69,45,5.246,ER
1,1,sphere-slider,constantSum,26,1.8,6.0,75,34,4.780,EW
1,1,sphere-slider,constantSum,27,2.5,5.0,73,37,5.235,GR
1,1,sphere-slider,constantSum,28,3.0,6.0,72,39,7.330,PW
1,1,bar-slider,constantSum,1,3.0,7.0,68,48,5.462,SQ
1,1,bar-slider,constantSum,2,1.0,11.0,93,8,3.379,HX
1,1,bar-slider,constantSum,3,5.0,15.0,78,29,5.496,YV
1,1,bar-slider,constantSum,4,9.0,13.0,62,62,4.163,LC
1,1,bar-slider,constantSum,5,9.0,15.0,63,59,5.048,LV
1,1,bar-slider,constantSum,6,1.0,5.0,75,34,3.947,HY
1,1,bar-slider,constantSum,7,5.0,7.0,63,59,4.881,YQ
1,1,bar-slider,constantSum,8,13.0,15.0,59,70,4.463,CV
1,1,bar-slider,constantSum,9,3.0,5.0,63,59,5.074,SY
1,1,bar-slider,constantSum,10,5.0,13.0,69,45,4.289,YC
1,1,bar-slider,constantSum,11,3.0,11.0,78,29,4.523,SX
1,1,bar-slider,constantSum,12,7.0,9.0,58,73,6.023,QL
1,1,bar-slider,constantSum,13,3.0,15.0,67,50,3.857,SV
1,1,bar-slider,constantSum,14,7.0,11.0,64,57,5.946,QX
1,1,bar-slider,constantSum,15,5.0,9.0,68,48,5.730,YL
1,1,bar-slider,constantSum,16,9.0,11.0,57,76,5.530,LX
1,1,bar-slider,constantSum,17,11.0,13.0,59,70,3.553,XC
1,1,bar-slider,constantSum,18,3.0,13.0,78,29,4.509,SC
1,1,bar-slider,constantSum,19,1.0,15.0,94,7,2.779,HV
1,1,bar-slider,constantSum,20,1.0,13.0,91,10,2.164,HC
1,1,bar-slider,constantSum,21,5.0,11.0,81,24,4.081,YX
1,1,bar-slider,constantSum,22,7.0,15.0,72,39,3.928,QV
1,1,bar-slider,constantSum,23,1.0,3.0,73,37,5.815,HS
1,1,bar-slider,constantSum,24,1.0,7.0,84,20,5.280,HQ
