participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
5,1,sphere-slider,constantSum,1,1.2,5.0,77,30,7.109,KR
5,1,sphere-slider,constantSum,2,1.8,4.0,56,79,7.813,EB
5,1,sphere-slider,constantSum,3,1.8,3.0,59,70,6.847,EP
5,1,sphere-slider,constantSum,4,5.0,7.0,55,82,9.266,RM
5,1,sphere-slider,constantSum,5,1.8,2.5,51,97,8.288,EG
5,1,sphere-slider,constantSum,6,1.2,7.0,80,25,5.380,KM
5,1,sphere-slider,constantSum,7,1.8,7.0,81,24,6.114,EM
5,1,sphere-slider,constantSum,8,4.0,6.0,66,52,6.463,BW
5,1,sphere-slider,constantSum,9,1.2,4.0,84,20,5.846,KB
5,1,sphere-slider,constantSum,10,4.0,5.0,60,67,5.047,BR
5,1,sphere-slider,constantSum,11,1.2,2.5,71,41,7.879,KG
5,1,sphere-slider,constantSum,12,2.5,6.0,73,37,3.680,GW
5,1,sphere-slider,constantSum,13,5.0,6.0,60,67,7.897,RW
5,1,sphere-slider,constantSum,14,1.2,1.8,66,52,5.131,KE
5,1,sphere-slider,constantSum,15,3.0,5.0,61,64,6.163,PR
5,1,sphere-slider,constantSum,16,1.2,6.0,81,24,5.297,KW
5,1,sphere-slider,constantSum,17,2.5,4.0,64,57,6.363,GB
5,1,sphere-slider,constantSum,18,3.0,4.0,61,64,5.637,PB
5,1,sphere-slider,constantSum,19,2.5,3.0,50,100,2.231,GP
5,1,sphere-slider,constantSum,20,3.0,7.0,70,43,4.380,PM
5,1,sphere-slider,constantSum,21,1.2,3.0,70,43,6.285,KP
5,1,sphere-slider,constantSum,22,2.5,7.0,72,39,4.146,GM
5,1,sphere-slider,constantSum,23,4.0,7.0,67,50,2.530,BM
5,1,sphere-slider,constantSum,24,6.0,7.0,57,76,3.164,WM
5,1,sphere-slider,constantSum,25,1.8,5.0,71,41,5.096,ER
5,1,sphere-slider,constantSum,26,1.8,6.0,77,30,3.915,EW
5,1,sphere-slider,constantSum,27,2.5,5.0,75,34,4.347,GR
5,1,sphere-slider,constantSum,28,3.0,6.0,73,37,3.531,PW
5,1,bar-slider,constantSum,1,3.0,7.0,64,57,5.646,SQ
5,1,bar-slider,constantSum,2,1.0,11.0,85,18,3.864,HX
5,1,bar-slider,constantSum,3,5.0,15.0,74,36,3.247,YV
5,1,bar-slider,constantSum,4,9.0,13.0,60,67,4.647,LC
5,1,bar-slider,constantSum,5,9.0,15.0,63,59,4.397,LV
5,1,bar-slider,constantSum,6,1.0,5.0,69,45,5.596,HY
5,1,bar-slider,constantSum,7,5.0,7.0,61,64,2.247,YQ
5,1,bar-slider,constantSum,8,13.0,15.0,56,79,2.380,CV
5,1,bar-slider,constantSum,9,3.0,5.0,63,59,3.097,SY
5,1,bar-slider,constantSum,10,5.0,13.0,65,54,4.047,YC
5,1,bar-slider,constantSum,11,3.0,11.0,76,32,4.164,SX
5,1,bar-slider,constantSum,12,7.0,9.0,58,73,1.898,QL
5,1,bar-slider,constantSum,13,3.0,15.0,78,29,3.347,SV
5,1,bar-slider,constantSum,14,7.0,11.0,66,52,4.330,QX
5,1,bar-slider,constantSum,15,5.0,9.0,65,54,3.997,YL
5,1,bar-slider,constantSum,16,9.0,11.0,60,67,3.064,LX
5,1,bar-slider,constantSum,17,11.0,13.0,55,82,4.647,XC
5,1,bar-slider,constantSum,18,3.0,13.0,73,37,2.548,SC
5,1,bar-slider,constantSum,19,1.0,15.0,88,14,2.780,HV
5,1,bar-slider,constantSum,20,1.0,13.0,92,9,1.880,HC
5,1,bar-slider,constantSum,21,5.0,11.0,72,39,3.831,YX
5,1,bar-slider,constantSum,22,7.0,15.0,70,43,1.897,QV
5,1,bar-slider,constantSum,23,1.0,3.0,59,70,2.763,HS
5,1,bar-slider,constantSum,24,1.0,7.0,64,57,2.464,HQ
5,1,bar-slider,constantSum,25,1.0,9.0,71,41,2.147,HL
5,1,bar-slider,constantSum,26,7.0,13.0,62,62,2.148,QC
5,1,bar-slider,constantSum,27,3.0,9.0,65,54,3.497,SL
5,1,bar-slider,constantSum,28,11.0,15.0,65,54,3.414,XV
5,1,sphere-number,ratioPercentage,1,1.2,5.0,80,25,5.038,KR
5,1,sphere-number,ratioPercentage,2,1.8,4.0,67,50,1.429,EB
5,1,sphere-number,ratioPercentage,3,1.8,3.0,59,70,1.978,EP
5,1,sphere-number,ratioPercentage,4,5.0,7.0,63,60,2.029,RM
5,1,sphere-number,ratioPercentage,5,1.8,2.5,53,90,2.078,EG
5,1,sphere-number,ratioPercentage,6,1.2,7.0,96,5,1.978,KM
5,1,sphere-number,ratioPercentage,7,1.8,7.0,94,7,2.595,EM
5,1,sphere-number,ratioPercentage,8,4.0,6.0,72,40,2.809,BW
5,1,sphere-number,ratioPercentage,9,1.2,4.0,96,5,1.912,KB
5,1,sphere-number,ratioPercentage,10,4.0,5.0,56,80,1.412,BR
5,1,sphere-number,ratioPercentage,11,1.2,2.5,69,45,3.841,KG
5,1,sphere-number,ratioPercentage,12,2.5,6.0,80,25,3.244,GW
5,1,sphere-number,ratioPercentage,13,5.0,6.0,56,80,1.345,RW
5,1,sphere-number,ratioPercentage,14,1.2,1.8,67,50,1.079,KE
5,1,sphere-number,ratioPercentage,15,3.0,5.0,69,45,2.627,PR
5,1,sphere-number,ratioPercentage,16,1.2,6.0,96,5,1.195,KW
5,1,sphere-number,ratioPercentage,17,2.5,4.0,56,80,3.839,GB
5,1,sphere-number,ratioPercentage,18,3.0,4.0,56,80,1.428,PB
5,1,sphere-number,ratioPercentage,19,2.5,3.0,56,80,2.956,GP
5,1,sphere-number,ratioPercentage,20,3.0,7.0,72,40,1.445,PM
5,1,sphere-number,ratioPercentage,21,1.2,3.0,91,10,3.557,KP
5,1,sphere-number,ratioPercentage,22,2.5,7.0,91,10,7.909,GM
5,1,sphere-number,ratioPercentage,23,4.0,7.0,84,20,2.210,BM
5,1,sphere-number,ratioPercentage,24,6.0,7.0,56,80,1.412,WM
5,1,sphere-number,ratioPercentage,25,1.8,5.0,87,15,2.850,ER
5,1,sphere-number,ratioPercentage,26,1.8,6.0,91,10,1.293,EW
5,1,sphere-number,ratioPercentage,27,2.5,5.0,87,15,1.511,GR
5,1,sphere-number,ratioPercentage,28,3.0,6.0,84,20,2.328,PW
5,1,bar-number,ratioPercentage,1,3.0,7.0,69,45,1.361,SQ
5,1,bar-number,ratioPercentage,2,1.0,11.0,96,5,0.995,HX
