participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
5,1,bar-number,ratioPercentage,3,5.0,15.0,84,20,1.412,YV
5,1,bar-number,ratioPercentage,4,9.0,13.0,65,55,1.029,LC
5,1,bar-number,ratioPercentage,5,9.0,15.0,67,50,1.329,LV
5,1,bar-number,ratioPercentage,6,1.0,5.0,84,20,4.584,HY
5,1,bar-number,ratioPercentage,7,5.0,7.0,56,80,1.411,YQ
5,1,bar-number,ratioPercentage,8,13.0,15.0,58,75,1.727,CV
5,1,bar-number,ratioPercentage,9,3.0,5.0,58,75,1.545,SY
5,1,bar-number,ratioPercentage,10,5.0,13.0,75,35,3.629,YC
5,1,bar-number,ratioPercentage,11,3.0,11.0,80,25,1.545,SX
5,1,bar-number,ratioPercentage,12,7.0,9.0,56,80,2.877,QL
5,1,bar-number,ratioPercentage,13,3.0,15.0,91,10,1.246,SV
5,1,bar-number,ratioPercentage,14,7.0,11.0,63,60,1.179,QX
5,1,bar-number,ratioPercentage,15,5.0,9.0,65,55,1.062,YL
5,1,bar-number,ratioPercentage,16,9.0,11.0,55,85,1.879,LX
5,1,bar-number,ratioPercentage,17,11.0,13.0,53,90,1.412,XC
5,1,bar-number,ratioPercentage,18,3.0,13.0,84,20,3.345,SC
5,1,bar-number,ratioPercentage,19,1.0,15.0,96,5,1.994,HV
5,1,bar-number,ratioPercentage,20,1.0,13.0,96,5,1.362,HC
5,1,bar-number,ratioPercentage,21,5.0,11.0,69,45,1.795,YX
5,1,bar-number,ratioPercentage,22,7.0,15.0,69,45,1.228,QV
5,1,bar-number,ratioPercentage,23,1.0,3.0,76,33,1.645,HS
5,1,bar-number,ratioPercentage,24,1.0,7.0,91,10,4.978,HQ
5,1,bar-number,ratioPercentage,25,1.0,9.0,91,10,1.262,HL
5,1,bar-number,ratioPercentage,26,7.0,13.0,65,55,1.062,QC
5,1,bar-number,ratioPercentage,27,3.0,9.0,75,35,1.695,SL
5,1,bar-number,ratioPercentage,28,11.0,15.0,58,75,1.912,XV
