participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
8,0,sphere-number,ratioPercentage,1,1.2,5.0,91,10,3.217,KR
8,0,sphere-number,ratioPercentage,2,1.8,4.0,80,25,3.502,EB
8,0,sphere-number,ratioPercentage,3,1.8,3.0,67,50,3.177,EP
8,0,sphere-number,ratioPercentage,4,5.0,7.0,58,75,2.244,RM
8,0,sphere-number,ratioPercentage,5,1.8,2.5,58,75,2.060,EG
8,0,sphere-number,ratioPercentage,6,1.2,7.0,96,5,1.995,KM
8,0,sphere-number,ratioPercentage,7,1.8,7.0,91,10,2.562,EM
8,0,sphere-number,ratioPercentage,8,4.0,6.0,75,35,3.083,BW
8,0,sphere-number,ratioPercentage,9,1.2,4.0,84,20,2.395,KB
8,0,sphere-number,ratioPercentage,10,4.0,5.0,56,80,3.963,BR
8,0,sphere-number,ratioPercentage,11,1.2,2.5,63,60,3.631,KG
8,0,sphere-number,ratioPercentage,12,2.5,6.0,80,25,1.861,GW
8,0,sphere-number,ratioPercentage,13,5.0,6.0,58,75,4.494,RW
8,0,sphere-number,ratioPercentage,14,1.2,1.8,67,50,3.045,KE
8,0,sphere-number,ratioPercentage,15,3.0,5.0,63,60,1.945,PR
8,0,sphere-number,ratioPercentage,16,1.2,6.0,96,5,3.323,KW
8,0,sphere-number,ratioPercentage,17,2.5,4.0,59,70,2.361,GB
8,0,sphere-number,ratioPercentage,18,3.0,4.0,56,80,2.628,PB
8,0,sphere-number,ratioPercentage,19,2.5,3.0,53,90,3.311,GP
8,0,sphere-number,ratioPercentage,20,3.0,7.0,87,15,3.324,PM
8,0,sphere-number,ratioPercentage,21,1.2,3.0,84,20,2.628,KP
8,0,sphere-number,ratioPercentage,22,2.5,7.0,84,20,4.184,GM
8,0,sphere-number,ratioPercentage,23,4.0,7.0,75,35,2.695,BM
8,0,sphere-number,ratioPercentage,24,6.0,7.0,56,80,4.362,WM
8,0,sphere-number,ratioPercentage,25,1.8,5.0,77,30,6.484,ER
8,0,sphere-number,ratioPercentage,26,1.8,6.0,87,15,4.403,EW
8,0,sphere-number,ratioPercentage,27,2.5,5.0,84,20,4.728,GR
8,0,sphere-number,ratioPercentage,28,3.0,6.0,80,25,3.334,PW
8,0,bar-number,ratioPercentage,1,3.0,7.0,72,40,2.211,SQ
8,0,bar-number,ratioPercentage,2,1.0,11.0,91,10,1.911,HX
8,0,bar-number,ratioPercentage,3,5.0,15.0,80,25,4.779,YV
